timestamp,fhr,uc
1,150.5,7
2,150.5,8.5
3,151,8.5
4,151.25,7.5
5,151.25,9.5
6,150.25,8.5
7,150.25,10.5
8,150.25,12
9,148.75,11
10,148.75,11.5
11,149.5,13.5
12,147.75,12
13,147.75,13
14,147.25,12
15,147.25,13.5
16,146.5,15
17,146.5,15
18,146.5,15
19,145.75,14.5
20,146,15
21,146,15.5
22,147,15
23,147,15.5
24,147,15
25,146.5,12
26,146.5,13.5
27,146.5,12.5
28,146.5,14
29,146.5,15
30,146.25,13.5
31,146.25,13.5
32,146.25,13
33,147,14.5
34,147,14
35,145.5,13.5
36,147,14
37,147,13.5
38,147.25,13.5
39,147.25,15
40,146.5,17.5
41,146.5,19.5
42,146.5,15
43,146.5,17
44,146.5,18
45,146.25,17
46,146.25,18
47,146.25,14.5
48,146.5,13.5
49,147.75,13.5
50,147.75,15.5
51,146,15.5
52,146,13.5
53,147.25,12
54,147.5,11.5
55,147.5,10.5
56,147.75,10
57,147.75,9
58,147,9
59,147.5,9
60,147.5,8.5
61,147,8
62,147.25,8
63,147.25,7.5
64,146.75,7.5
65,146.75,7
66,146.75,7
67,146.25,7
68,146.25,6.5
69,146.75,5.5
70,146.75,6.5
71,147,6.5
72,147,6.5
73,148.25,7.5
74,147.5,7.5
75,147.5,7
76,147,6.5
77,147,7
78,147,7
79,146.5,7
80,146.5,6.5
81,145.75,6.5
82,145.25,6
83,145.25,7
84,144.75,7.5
85,144.75,6
86,144.75,6.5
87,144.75,6
88,144.75,6
89,145,6.5
90,145,7.5
91,145,8
92,144.75,8
93,144.75,7
94,143.25,7
95,143.25,7
96,142.5,7
97,142.5,7
98,143.25,8
99,143,10
100,143,10
101,142.75,10
102,142.75,9.5
103,142.75,12.5
104,141.75,17.5
105,141.75,18.5
106,141,12.5
107,139.75,12
108,139.75,11.5
109,140.5,9.5
110,140.5,10.5
111,141,9.5
112,141.5,8.5
113,141.5,7.5
114,141.5,7
115,141.5,7.5
116,140.75,7
117,141.5,4
118,141.5,3.5
119,141.25,3
120,141.25,2.5
121,140,2.5
122,140,2.5
123,140.5,2
124,139.75,2.5
125,139.75,3
126,140,3
127,140,2
128,139.5,2
129,139.25,4
130,139.25,3.5
131,139.75,2
132,139.75,1.5
133,140.5,1.5
134,140.5,1.5
135,140.75,1.5
136,141.25,1.5
137,141.25,1
138,141.25,1
139,141.25,0.5
140,142.25,0.5
141,143,2.5
142,143,2
143,144,1.5
144,144,1
145,144,1.5
146,143.75,1.5
147,143.75,1.5
148,144,2
149,144,2
150,144.25,2
151,143.5,2
152,143.5,3
153,144.75,2
154,144.75,2
155,145,2
156,145.75,2
157,145.75,2
158,145.75,2
159,145.75,1.5
160,145.5,2
161,146.25,2
162,146.25,3
163,145,4
164,144.25,4.5
165,144.25,4.5
166,143.25,3
167,143.25,3.5
168,143,4
169,143,3.5
170,141.75,3.5
171,141.75,3.5
172,141.75,3.5
173,140.75,2.5
174,140.75,1.5
175,141,3
176,141.75,4.5
177,141.75,3.5
178,140,2.5
179,140,1.5
180,140.5,1.5
181,140.5,1.5
182,140.75,1.5
183,142,1.5
184,142,1.5
185,142,3
186,142,3.5
187,141.5,1.5
188,142.5,1
189,142.5,1
190,142.75,1
191,142.75,1
192,142.5,0
193,143,1
194,143,0
195,143.5,1
196,143.5,2
197,144.75,1.5
198,145.5,2.5
199,145.5,3
200,145.75,5
